№ указу,Дата указу,Посилання
874/2026,04.09.2026,https://www.president.gov.ua/documents/8742026-61457
875/2026,04.09.2026,https://www.president.gov.ua/documents/8752026-61465
854/2026,02.09.2026,https://www.president.gov.ua/documents/8542026-61433
845/2026,01.09.2026,https://www.president.gov.ua/documents/8452026-61349
815/2026,24.08.2026,https://www.president.gov.ua/documents/8152026-61225
830/2026,24.08.2026,https://www.president.gov.ua/documents/8302026-61445
811/2026,22.08.2026,https://www.president.gov.ua/documents/8112026-61185
812/2026,22.08.2026,https://www.president.gov.ua/documents/8122026-61269
755/2026,21.08.2026,https://www.president.gov.ua/documents/7552026-61189
756/2026,21.08.2026,https://www.president.gov.ua/documents/7562026-61101
762/2026,21.08.2026,https://www.president.gov.ua/documents/7622026-61125
763/2026,21.08.2026,https://www.president.gov.ua/documents/7632026-61129
764/2026,21.08.2026,https://www.president.gov.ua/documents/7642026-61133
767/2026,21.08.2026,https://www.president.gov.ua/documents/7672026-61265
770/2026,21.08.2026,https://www.president.gov.ua/documents/7702026-61137
736/2026,19.08.2026,https://www.president.gov.ua/documents/7362026-61065
737/2026,19.08.2026,https://www.president.gov.ua/documents/7372026-61069
722/2026,14.08.2026,https://www.president.gov.ua/documents/7222026-60877
714/2026,11.08.2026,https://www.president.gov.ua/documents/7142026-60853
715/2026,11.08.2026,https://www.president.gov.ua/documents/7152026-60857
716/2026,11.08.2026,https://www.president.gov.ua/documents/7162026-60849
706/2026,05.08.2026,https://www.president.gov.ua/documents/7062026-60833
705/2026,04.08.2026,https://www.president.gov.ua/documents/7052026-60801
680/2026,31.07.2026,https://www.president.gov.ua/documents/6802026-60741
681/2026,31.07.2026,https://www.president.gov.ua/documents/6812026-60725
691/2026,31.07.2026,https://www.president.gov.ua/documents/6912026-60729
640/2026,24.07.2026,https://www.president.gov.ua/documents/6402026-60525
637/2026,23.07.2026,https://www.president.gov.ua/documents/6372026-60505
638/2026,23.07.2026,https://www.president.gov.ua/documents/6382026-60517
634/2026,22.07.2026,https://www.president.gov.ua/documents/6342026-60721
625/2026,20.07.2026,https://www.president.gov.ua/documents/6252026-60445
603/2026,15.07.2026,https://www.president.gov.ua/documents/6032026-60345
604/2026,15.07.2026,https://www.president.gov.ua/documents/6042026-60349
570/2026,02.07.2026,https://www.president.gov.ua/documents/5702026-60241
571/2026,02.07.2026,https://www.president.gov.ua/documents/5712026-60233
572/2026,02.07.2026,https://www.president.gov.ua/documents/5722026-60201
